"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A5","Dipodascaceae","euk",0,0
0,0,"A5","Diptera","euk",24,0.00700320980449373
0,0,"A5","Eimeriorina","euk",18,0.00525240735337029
0,0,"A5","Enterobacteriaceae","bac",360,0.00622137734381751
0,0,"A5","Enterococcaceae","bac",935,0.0161582994901927
0,0,"A5","Eustigmatales","euk",0,0
0,0,"A5","Fabales","euk",19,0.00554420776189087
0,0,"A5","Flavobacteriaceae","bac",2690,0.046487514041303
0,0,"A5","Haptoria","euk",0,0
0,0,"A5","Herpotrichiellaceae","euk",0,0
0,0,"A5","Hypotrichia","euk",5,0.00145900204260286
0,0,"A5","Intrasporangiaceae","bac",960,0.0165903395835134
0,0,"A5","Lachnospiraceae","bac",1087,0.0187851032575823
0,0,"A5","Lactobacillaceae","bac",1369,0.0236585155102393
0,0,"A5","Lichtheimiaceae","euk",1,0.000291800408520572
0,0,"A5","Malasseziaceae","euk",0,0
0,0,"A5","Microbacteriaceae","bac",353,0.00610040611768772
0,0,"A5","Micrococcaceae","bac",277,0.00478700423399291
0,0,"A5","Moraxellaceae","bac",4497,0.0777153719865203
0,0,"A5","Mucoraceae","euk",17,0.00496060694484972
0,0,"A5","Oligohymenophorea","euk",176,0.0513568718996207
0,0,"A5","Opiliones","euk",123,0.0358914502480303
0,0,"A5","Oxalobacteraceae","bac",70,0.00120971226129785
0,0,"A5","Paraprevotellaceae","bac",1220,0.0210835565540482
0,0,"A5","Peptostreptococcaceae","bac",314,0.00542642357210749
0,0,"A5","Peronosporomycetes","euk",12,0.00350160490224686
0,0,"A5","Phaeosphaeriaceae","euk",1,0.000291800408520572
0,0,"A5","Phaffomycetaceae","euk",2,0.000583600817041144
0,0,"A5","Pichiaceae","euk",23,0.00671140939597315
0,0,"A5","Planococcaceae","bac",1768,0.0305538753996371
0,0,"A5","Poales","euk",113,0.0329734461628246
0,0,"A5","Porphyromonadaceae","bac",803,0.0138771277974596
0,0,"A5","Prevotellaceae","bac",845,0.0146029551542383
0,0,"A5","Pseudomonadaceae","bac",545,0.00941847403439039
