"days","degdays","subj","taxa","type","counts","fracBySubjDay"
1,27,"A4","Flavobacteriales","bac",1287,0.0207691190472348
1,27,"A4","JG30_KF_CM45","bac",269,0.00434102022043991
1,27,"A4","Lactobacillales","bac",7457,0.120338244549518
1,27,"A4","Liliopsida","euk",128,0.0443981963232744
1,27,"A4","Litostomatea","euk",43,0.01491501907735
1,27,"A4","Malasseziales","euk",1,0.000346860908775581
1,27,"A4","Metakinetoplastina","euk",0,0
1,27,"A4","Mucorales","euk",87,0.0301768990634755
1,27,"A4","Peronosporomycetes","euk",0,0
1,27,"A4","Pleosporales","euk",270,0.0936524453694069
1,27,"A4","Pseudomonadales","bac",8026,0.129520551261155
1,27,"A4","Ranunculales","euk",0,0
1,27,"A4","Rare","bac",579,0.00934368292801007
1,27,"A4","Rare","euk",83,0.0287894554283733
1,27,"A4","Rhabditida","euk",39,0.0135275754422477
1,27,"A4","Rhizobiales","bac",535,0.00863362757596785
1,27,"A4","Saccharomycetales","euk",896,0.310787374262921
1,27,"A4","Sphingobacteriales","bac",311,0.00501880032920748
1,27,"A4","Spirotrichea","euk",0,0
1,27,"A4","Sporidiobolales","euk",31,0.010752688172043
1,27,"A4","Taphrinales","euk",0,0
1,27,"A4","Tremellales","euk",37,0.0128338536246965
1,27,"A4","Trichosporonales","euk",743,0.257717655220257
1,27,"A4","Turicibacterales","bac",376,0.00606774573563348
1,27,"A4","Ustilaginales","euk",0,0
1,27,"A4","Xanthomonadales","bac",316,0.0050994884373941
1,27,"A5","Acari","euk",1,8.43525938422607e-05
1,27,"A5","Actinomycetales","bac",22805,0.388785652181325
1,27,"A5","Ascaridida","euk",6,0.000506115563053564
1,27,"A5","Bacillales","bac",5048,0.086059634826193
1,27,"A5","Bacteroidales","bac",2563,0.0436946996948361
1,27,"A5","Burkholderiales","bac",485,0.00826840786265919
1,27,"A5","Capnodiales","euk",133,0.0112188949810207
1,27,"A5","Caulobacterales","bac",47,0.000801268390814396
1,27,"A5","Chromulinales","euk",11,0.000927878532264867
1,27,"A5","Clostridiales","bac",12729,0.217007347801626
1,27,"A5","Coccidia","euk",29,0.00244622522142556
1,27,"A5","Coleoptera","euk",4,0.000337410375369043
1,27,"A5","Collembola","euk",0,0
1,27,"A5","Conthreep","euk",277,0.0233656684943062
1,27,"A5","Diptera","euk",699,0.0589624630957402
1,27,"A5","Enterobacteriales","bac",209,0.00356308709957891
1,27,"A5","Eurotiales","euk",863,0.0727962884858709
1,27,"A5","Eustigmatales","euk",0,0
1,27,"A5","Fabales","euk",4,0.000337410375369043
1,27,"A5","Filobasidiales","euk",478,0.0403205398566006
